FeedbackId,EnrollmentId,TeacherId,Date,Subject,NameOfTeacher,Q1Rating,Q2Rating,Q3Rating,Q4Rating,Q5Rating,Q6Rating,Q7Rating,Q8Rating,Q9Rating,Q10Rating,Q11Rating,Q12Rating,Q13Rating,Q14Rating,Q15Rating,Q16Rating,Q17Rating,Q18Rating,Q19Rating,Q20Rating,Comments
25,5,1,2023-05-05,Physics,Michael Brown,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,1,The teacher conducts engaging experiments.
26,1,1,2023-05-01,Mathematics,John Doe,4,5,3,4,5,2,4,5,3,5,4,3,2,4,5,3,2,4,3,1,The teacher explained the concepts well.
27,2,3,2023-05-02,Science,Jane Smith,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,The teacher is very knowledgeable.
28,3,2,2023-05-03,English,David Johnson,3,2,4,3,2,3,4,3,2,4,3,2,4,3,2,4,3,2,4,5,The teacher could improve on explaining grammar rules.
29,4,4,2023-05-04,History,Sarah Williams,1,4,4,3,4,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,The teacher makes the subject interesting.
30,5,1,2023-05-05,Physics,Michael Brown,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,1,The teacher conducts engaging experiments.
31,1,1,2023-05-01,Mathematics,John Doe,4,5,3,4,5,2,4,5,3,5,4,3,2,4,5,3,2,4,3,1,The teacher explained the concepts well.
32,2,3,2023-05-02,Science,Jane Smith,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,The teacher is very knowledgeable.
33,3,2,2023-05-03,English,David Johnson,3,2,4,3,2,3,4,3,2,4,3,2,4,3,2,4,3,2,4,5,The teacher could improve on explaining grammar rules.
34,4,4,2023-05-04,History,Sarah Williams,1,4,4,3,4,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,The teacher makes the subject interesting.
35,5,1,2023-05-05,Physics,Michael Brown,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,1,The teacher conducts engaging experiments.
36,1,1,2023-05-01,Mathematics,John Doe,4,5,3,4,5,2,4,5,3,5,4,3,2,4,5,3,2,4,3,1,The teacher explained the concepts well.
37,2,3,2023-05-02,Science,Jane Smith,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,The teacher is very knowledgeable.
38,3,2,2023-05-03,English,David Johnson,3,2,4,3,2,3,4,3,2,4,3,2,4,3,2,4,3,2,4,5,The teacher could improve on explaining grammar rules.
39,4,4,2023-05-04,History,Sarah Williams,1,4,4,3,4,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,The teacher makes the subject interesting.
40,5,1,2023-05-05,Physics,Michael Brown,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,1,The teacher conducts engaging experiments.
41,5,1,2023-05-05,Physics,Michael Brown,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,1,The teacher conducts engaging experiments.
42,1,1,2023-05-01,Mathematics,John Doe,4,5,3,4,5,2,4,5,3,5,4,3,2,4,5,3,2,4,3,1,The teacher explained the concepts well.
43,2,3,2023-05-02,Science,Jane Smith,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,The teacher is very knowledgeable.
44,3,2,2023-05-03,English,David Johnson,3,2,4,3,2,3,4,3,2,4,3,2,4,3,2,4,3,2,4,5,The teacher could improve on explaining grammar rules.
45,4,4,2023-05-04,History,Sarah Williams,1,4,4,3,4,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,The teacher makes the subject interesting.
46,5,1,2023-05-05,Physics,Michael Brown,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,1,The teacher conducts engaging experiments.
47,1,1,2023-05-01,Mathematics,John Doe,4,5,3,4,5,2,4,5,3,5,4,3,2,4,5,3,2,4,3,1,The teacher explained the concepts well.
48,2,3,2023-05-02,Science,Jane Smith,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,The teacher is very knowledgeable.
49,3,2,2023-05-03,English,David Johnson,3,2,4,3,2,3,4,3,2,4,3,2,4,3,2,4,3,2,4,5,The teacher could improve on explaining grammar rules.
50,4,4,2023-05-04,History,Sarah Williams,1,4,4,3,4,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,The teacher makes the subject interesting.
51,5,1,2023-05-05,Physics,Michael Brown,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,1,The teacher conducts engaging experiments.
